
 Lista de Imóveis da Caixa;;Data de geração:;12/12/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787711309217 ;SP ;ARACATUBA ;CHACARAS TV ;RUA NOEL ROSA, N. 719, Apto 202, PAV 02 BL 09 VG 165 ;78.201,87;135.000,00;42.08;Apartamento, 85.43 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711309217
 8787711480978 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL CLAUDIONOR CINTI ;RUA DEZESSEIS, N. 344, LOT 20 QD C2 ;75.305,50;130.000,00;42.08;Casa, 43.92 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711480978
 8787712200782 ;SP ;ARACATUBA ;PARQUE INDUSTRIAL ANTONIO XAVIER COUTO ;RODOVIA ELIEZER MONTENEGRO MAGALHAES, N. 908,  LT 13 QD 31 ;78.201,87;135.000,00;42.08;Casa, 44.82 de área total, 44.82 de área privativa, 152.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712200782
 8787712202068 ;SP ;ARACATUBA ;RESIDENCIAL LUANA ;RUA OITO, N. 133, ;87.819,45;150.000,00;41.46;Casa, 44.82 de área total, 44.82 de área privativa, 220.92 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712202068
 8787712540389 ;SP ;ARACATUBA ;RESIDENCIAL SYLVIO JOSE VENTUROLLI ;RUA BELARMINO PIRES, N. 915, LOTE 46, QD 31 ;87.819,45;150.000,00;41.46;Casa, 44.82 de área total, 44.82 de área privativa, 152.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712540389
 8787712752688 ;SP ;ARACATUBA ;RESIDENCIAL PAQUERE ;RUA JOSE LUIZ MENDES, N. 60, ;87.819,45;150.000,00;41.46;Casa, 49.18 de área total, 49.18 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712752688
 8787714896504 ;SP ;ARACATUBA ;RESIDENCIAL SYLVIO JOSE VENTUROLLI ;RUA BELARMINO PIRES, N. 506, LT 05 QD 20 ;86.648,52;148.000,00;41.46;Casa, 44.82 de área total, 44.82 de área privativa, 152.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714896504
 8787715641224 ;SP ;ARACATUBA ;UMUARAMA ;AVENIDA UMUARAMA, N. 1400, Apto 401, BL 04 ;83.428,48;142.500,00;41.46;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715641224
 8787719218873 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL LUANA II ;RUA RAIMUNDO BATISTA DE LIMA, N. 76, ;87.819,45;150.000,00;41.46;Casa, 44.82 de área total, 44.82 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719218873
 8787714799380 ;SP ;ARACATUBA ;UMUARAMA ;AVENIDA UMUARAMA, N. 1456, Apto 102, BL 01 ;106.667,03;180.000,00;40.75;Apartamento, 92.56 de área total, 42.02 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714799380
 8787707588298 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL CLAUDIONOR CINTI ;RUA ERNESTO NAZARET (ESQ RUA V DECIO SAMPAIO), N. 70, Apto 203, BL 01 VG 160 ;78.000,00;130.000,00;40.00;Apartamento, 87.82 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707588298
 8787710587507 ;SP ;ARACATUBA ;VILA ALBA ;RUA ADEMAR RODRIGUES AGUIAR, N. 370, Apto 384, BL 300 PAV 07 ;115.442,98;191.000,00;39.56;Apartamento, 114.10 de área total, 54.45 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710587507
 8787717704789 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL CLAUDIONOR CINTI ;RUA ERNESTO NAZARET, N. 140, Apto 103, BL. 09 ;113.629,74;188.000,00;39.56;Apartamento, 39.30 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717704789
 8787718781523 ;SP ;ARACATUBA ;FAZENDA DO ESTADO ;ESTRADA GOULART (ANTIGA ESTRADA FAUSE CHADE, 455), N. 399, Apto 401, BLOCO 09, 4º PAVIMENTO, VAGA 108 ;114.838,57;190.000,00;39.56;Apartamento, 0.00 de área total, 105.55 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718781523
 8444400423252 ;SP ;ARACATUBA ;JARDIM UNIVERSO ;RUA MARIA HELENA NOGUEIRA DE ANDRADE, N. 619, LT 28 QD G ;191.194,29;300.000,00;36.27;Casa, 143.75 de área total, 143.75 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400423252
